frame,time,direction,hex,raw_packet,packet
682,14.126168,D->H,41a18200100000032f580800050000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 161, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""/X\x08\0\x05\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""/X\x08\0\x05\0\0\0\0\0\xa3\x0c"")"
683,14.126402,D->H,,-,-
684,14.166209,H->D,0ca22000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 162, attribute: 16 }, payload: b"""" }",CmdGetPdData
685,14.166252,H->D,,-,-
686,14.166291,D->H,41a282001000000357580800040000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 162, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""WX\x08\0\x04\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""WX\x08\0\x04\0\0\0\0\0\xa3\x0c"")"
687,14.166622,D->H,,-,-
688,14.196058,H->D,0ca30200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 163, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData
689,14.196119,H->D,,-,-
690,14.196160,D->H,41a382020100000b830f00000a000000a40f0000120000000810000070000000540d04007c7e2003f900847e0080a40c4f001800,"Data { header: DataHeader { packet_type: 65, flag: false, id: 163, obj_count_words: 10 }, extended: ExtendedHeader { attribute: 1, next: false, chunk: 0, size: 44 }, payload: b""\x83\x0f\0\0\n\0\0\0\xa4\x0f\0\0\x12\0\0\0\x08\x10\0\0p\0\0\0T\r\x04\0|~ \x03\xf9\0\x84~\0\x80\xa4\x0cO\0\x18\0"" }","SimpleAdcData(AdcDataSimple { vbus_v: 0.003971, ibus_a: 1e-5, power_w: 3.971e-8, vbus_avg_v: 0.004004, ibus_avg_a: 1.8e-5, temp_c: 26.0, vdp_v: 0.08, vdm_v: 0.0249, vdp_avg_v: 0.0079, vdm_avg_v: 0.0024, cc1_v: 0.0004, cc2_v: 3.238, cc2_avg_v: 0.3236, internal_vdd_v: 3.2388, sample_rate: Sps1 })"
691,14.196480,D->H,,-,-
692,14.206073,H->D,0ca42000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 164, attribute: 16 }, payload: b"""" }",CmdGetPdData
693,14.206131,H->D,,-,-
694,14.206153,D->H,41a48200100000037f580800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 164, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x7fX\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\x7fX\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
695,14.206469,D->H,,-,-
696,14.246151,H->D,0ca52000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 165, attribute: 16 }, payload: b"""" }",CmdGetPdData
697,14.246195,H->D,,-,-
698,14.246227,D->H,41a5820010000003a7580800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 165, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xa7X\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xa7X\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
699,14.246706,D->H,,-,-
700,14.286092,H->D,0ca62000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 166, attribute: 16 }, payload: b"""" }",CmdGetPdData
701,14.286134,H->D,,-,-
702,14.286171,D->H,41a6820010000003cf580800020000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 166, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xcfX\x08\0\x02\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xcfX\x08\0\x02\0\0\0\0\0\xa5\x0c"")"
703,14.286633,D->H,,-,-
704,14.327616,H->D,0ca72000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 167, attribute: 16 }, payload: b"""" }",CmdGetPdData
705,14.327668,H->D,,-,-
706,14.327769,D->H,41a7820010000003f9580800030000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 167, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\xf9X\x08\0\x03\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\xf9X\x08\0\x03\0\0\0\0\0\xa5\x0c"")"
707,14.330032,D->H,,-,-
708,14.366415,H->D,0ca82000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 168, attribute: 16 }, payload: b"""" }",CmdGetPdData
709,14.366465,H->D,,-,-
